url,stars,date,spot,ville,region
https://www.surf-report.com/meteo-surf/meteo-surf/audierne-s1153.html,11,Mercredi 10 Novembre,No spot name,Audierne,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-gamelle-audierne-s1154.html,11,Mercredi 10 Novembre,La Gamelle,Audierne,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/pointe-dinan-s1146.html,11,Mercredi 10 Novembre,Pointe De Dinan,Camaret/mer,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/poez-theolen-cleden-cap-sizun-s1150.html,12,Mardi 9 Novembre,Poez Théolen,Cleden Cap Sizun,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-palue-s1038.html,11,Mercredi 10 Novembre,La Palue,Crozon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/les-roches-blanches-douarnenez-s1149.html,12,Mardi 9 Novembre,Les Roches Blanches,Douarnenez,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/pointe-lervily-esquibien-s1152.html,11,Jeudi 11 Novembre,Pointe De Lervily,Esquibien,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/boutrouilles-kerlouan-s1139.html,11,Mardi 9 Novembre,Boutrouilles,Kerlouan,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/penfoul-s1141.html,13,Mercredi 10 Novembre,Penfoul,Landunvez,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/blancs-sablons-conquet-s2758.html,12,Mercredi 10 Novembre,Blancs Sablons,Le Conquet,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/locquirec-s1102.html,11,Mardi 9 Novembre,No spot name,Locquirec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-torche-s1040.html,15,Mercredi 10 Novembre,La Torche,Penmarch,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/pors-carn-s1070.html,13,Mercredi 10 Novembre,Pors Carn,Penmarch,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/les-kaolins-s1162.html,11,Mercredi 10 Novembre,Les Kaolins,Ploemeur,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/baie-trepasses-s996.html,13,Mercredi 10 Novembre,Baie Des Trépassés,Plogoff,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/plage-gwendrez-s1155.html,11,Mercredi 10 Novembre,Plage De Gwendrez,Plouhinec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/penhors-plage-s1158.html,12,Mercredi 10 Novembre,Penhors Plage,Plovan,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/palud-keristenvet-s1156.html,13,Jeudi 11 Novembre,Palud Keristenvet,Plozevet,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/palud-gourinet-s1157.html,12,Mercredi 10 Novembre,Palud Gourinet,Pouldreuzic,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/penthievre-quiberon-s1171.html,11,Mercredi 10 Novembre,Penthièvre,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/port-bara-quiberon-s1173.html,11,Mercredi 10 Novembre,Port Bara,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/port-blanc-quiberon-s1072.html,11,Mercredi 10 Novembre,Port Blanc,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/port-rhu-quiberon-s1172.html,11,Mercredi 10 Novembre,Port Rhu,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/tronoen-s1116.html,15,Mercredi 10 Novembre,Tronoën,St Jean Trolimon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/saint-pabu-s1140.html,13,Mercredi 10 Novembre,No spot name,St Pabu,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/le-dossen-s1101.html,13,Mardi 9 Novembre,Le Dossen,Santec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/santec-s102805.html,11,Mercredi 10 Novembre,No spot name,Santec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/les-donnants-sauzon-s1175.html,15,Mercredi 10 Novembre,Les Donnants,Sauzon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-mauvaise-greve-s1138.html,12,Mardi 9 Novembre,La Mauvaise Grève,Sibiril,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-govelle-s1036.html,11,Mercredi 10 Novembre,La Govelle,Le Pouliguen,loire-atlantique
