url,stars,date,spot,ville,region
https://www.surf-report.com/meteo-surf/meteo-surf/poez-theolen-cleden-cap-sizun-s1150.html,12,Lundi 4 Octobre,Poez Théolen,Cleden Cap Sizun,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/les-roches-blanches-douarnenez-s1149.html,14,Lundi 4 Octobre,Les Roches Blanches,Douarnenez,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/boutrouilles-kerlouan-s1139.html,12,Lundi 4 Octobre,Boutrouilles,Kerlouan,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/locquirec-s1102.html,12,Lundi 4 Octobre,No spot name,Locquirec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/lafitenia-saint-jean-luz-s1218.html,11,Mardi 5 Octobre,Lafitenia,St Jean De Luz,pays-basque
