url,stars,date,spot,ville,region
https://www.surf-report.com/meteo-surf/meteo-surf/audierne-s1153.html,11,Jeudi 21 Octobre,No spot name,Audierne,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-gamelle-audierne-s1154.html,13,Jeudi 21 Octobre,La Gamelle,Audierne,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/ile-aux-vaches-s1032.html,11,Jeudi 21 Octobre,L'ile Aux Vaches,Esquibien,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/gavres-s1165.html,12,Jeudi 21 Octobre,No spot name,Gavres,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/anse-kerguelen-s1163.html,14,Jeudi 21 Octobre,Anse De Kerguélen,Larmor Plage,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/toulhars-larmor-plage-s1164.html,14,Jeudi 21 Octobre,Toulhars,Larmor Plage,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/porsmilin-s1142.html,14,Jeudi 21 Octobre,Porsmilin,Locmaria Plouzane,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/plage-gwendrez-s1155.html,11,Jeudi 21 Octobre,Plage De Gwendrez,Plouhinec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/la-grande-plage-quiberon-s1174.html,12,Jeudi 21 Octobre,La Grande Plage,Quiberon,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/santec-s102805.html,11,Jeudi 21 Octobre,No spot name,Santec,Bretagne
https://www.surf-report.com/meteo-surf/meteo-surf/pornic-s1179.html,11,Jeudi 21 Octobre,No spot name,Pornic,loire-atlantique
https://www.surf-report.com/meteo-surf/meteo-surf/la-courance-s1176.html,11,Jeudi 21 Octobre,La Courance,Pornichet,loire-atlantique
https://www.surf-report.com/meteo-surf/meteo-surf/embarcadere-s1031.html,15,Jeudi 21 Octobre,L'embarcadère,La Tranche/mer,Vendee
https://www.surf-report.com/meteo-surf/meteo-surf/la-tranche-mer-s1041.html,12,Jeudi 21 Octobre,No spot name,La Tranche/mer,Vendee
https://www.surf-report.com/meteo-surf/meteo-surf/biarritz-grande-plage-s998.html,13,Jeudi 21 Octobre,Grande Plage,Biarritz,pays-basque
https://www.surf-report.com/meteo-surf/meteo-surf/socoa-s1221.html,11,Jeudi 21 Octobre,Socoa,Ciboure,pays-basque
https://www.surf-report.com/meteo-surf/meteo-surf/lafitenia-saint-jean-luz-s1218.html,13,Jeudi 21 Octobre,Lafitenia,St Jean De Luz,pays-basque
https://www.surf-report.com/meteo-surf/meteo-surf/bretignolles-s1003.html,14,Vendredi 22 Octobre,Brétignolles,Bretignolles,Vendee
https://www.surf-report.com/meteo-surf/meteo-surf/la-sauzaie-bretignolles-s1039.html,13,Vendredi 22 Octobre,La Sauzaie,Bretignolles,Vendee
https://www.surf-report.com/meteo-surf/meteo-surf/les-dunes-bretignolles-s1055.html,14,Vendredi 22 Octobre,Les Dunes,Bretignolles,Vendee
https://www.surf-report.com/meteo-surf/meteo-surf/sables-olonne-s1092.html,12,Vendredi 22 Octobre,Sables D'olonne,Les Sables d'Olonne,Vendee
https://www.surf-report.com/meteo-surf/meteo-surf/bud-bud-s1005.html,13,Vendredi 22 Octobre,Bud Bud,Longeville/mer,Vendee
